group,common_name,scientific_name,level_of_concern,highly_sensitive,degradee,buissonnante,arbustive,alignement,mixte,proximite_mare,vieil_arbre,proximite_point_eau,connexion_boisement
Amphibiens,Rainette verte,Hyla arborea,fort,,True,True,True,True,True,True,,,
Amphibiens,Triton crêté,Triturus cristatus,fort,,True,True,True,True,True,True,,,
Chauves-souris,Barbastelle d’Europe,Barbastella barbastellus,tres_fort,True,,,,True,True,,True,,
Chauves-souris,Grand murin,Myotis myotis,fort,,,,,True,True,,True,,
Chauves-souris,Grand rhinolophe,Rhinolophus ferrumequinum,fort,,,,,True,True,,True,,
Chauves-souris,Murin à moustaches,Myotis mystacinus,moyen,,,,,True,True,,True,,
Chauves-souris,Murin de Bechstein,Myotis bechsteinii,fort,,,,,True,True,,True,,
Chauves-souris,Murin de Daubenton,Myotis daubentonii,moyen,,,,,True,True,,True,,
Chauves-souris,Noctule commune,Nyctalus noctula,fort,,,,,True,True,,True,,
Chauves-souris,Noctule de Leisler,Nyctalus leisleri,fort,,,,,True,True,,True,,
Chauves-souris,Oreillard roux,Plecotus auritus,fort,,,,,True,True,,True,,
Chauves-souris,Petit rhinolophe,Rhinolophus hipposideros,fort,,,,,True,True,,True,,
Chauves-souris,Pipistrelle commune,Pipistrellus pipistrellus,moyen,,,,,True,True,,True,,
Chauves-souris,Sérotine commune,Eptesicus serotinus,moyen,,,,,True,True,,True,,
Flore,Lathrée écailleuse,Lathraea squamaria,fort,True,,,,True,True,,,True,
Flore,Nivéole printanière,Leucojum vernum,fort,True,True,True,True,True,True,,,,
Flore,Orme lisse,Ulmus laevis,tres_fort,True,,,,True,True,,,,
Flore,Raiponce noire,Phyteuma nigrum,fort,True,True,True,True,True,True,,,,True
Insectes,Pique prune,Osmoderma eremita,moyen,,,,,True,True,,True,,
Mammifères terrestres,Écureuil roux,Sciurus vulgaris,faible,,,,,True,True,,,,
Mammifères terrestres,Hérisson d’Europe,Erinaceus europaeus,faible,,True,True,True,True,True,,,,
Mammifères terrestres,Muscardin,Muscardinus avellanarius,moyen,,True,True,True,True,True,,,,
Oiseaux,Accenteur mouchet,Prunella Modularis,faible,,True,True,True,True,True,,,,
Oiseaux,Bouvreuil pivoine,Pyrrhula pyrrhula,moyen,,,,,True,True,,,,
Oiseaux,Bruant jaune,Emberiza citrinella,moyen,,True,True,True,True,True,,,,
Oiseaux,Bruant zizi,Emberiza cirlus,fort,,,,True,True,True,,,,
Oiseaux,Buse variable,Buteo buteo,faible,,,,,True,,,,,
Oiseaux,Chardonneret élégant,Carduelis carduelis,moyen,,,,True,,True,,,,
Oiseaux,Chevêche d’Athéna,Athene noctua,fort,,,,,True,,,,,
Oiseaux,Chouette hulotte,Strix aluco,faible,,,,,True,,,,,
Oiseaux,Coucou gris,Cuculus canorus,faible,,,,True,,True,,,,
Oiseaux,Épervier d’Europe,Accipiter nisus,faible,,,,,True,True,,,,
Oiseaux,Faucon crécerelle,Falco tinnuculus,faible,,,,,True,True,,,,
Oiseaux,Faucon hobereau,Falco subbuteo,moyen,,,,,True,,,,,
Oiseaux,Fauvette à tête noire,Sylvia atricapilla,faible,,,,True,True,True,,,,
Oiseaux,Fauvette babillarde,Curruca curruca,faible,,,,True,,True,,,,
Oiseaux,Fauvette des jardins,Sylvia borin,faible,,,,True,,True,,,,
Oiseaux,Fauvette grisette,Sylvia communis,faible,,True,True,True,,,,,,
Oiseaux,Gobemouche gris,Muscicapa striapa,faible,,,,,True,,,,,
Oiseaux,Hibou moyen-duc,Asio otus,faible,,,,,True,,,,,
Oiseaux,Huppe fasciée,Upupa epops,majeur,True,,,,True,True,,,,
Oiseaux,Hypolaïs ictérine,Hippolais icterina,tres_fort,True,,,True,True,True,,,,
Oiseaux,Hypolaïs polyglotte,Hipolais polyglotta,faible,,,,True,,True,,,,
Oiseaux,Linotte mélodieuse,Carduelis cannabina,moyen,,True,True,True,True,True,,,,
Oiseaux,Loriot d’Europe,Oriolus oriolus,faible,,,,,True,True,,,,
Oiseaux,Mésange à longue queue,Aegithalos caudatus,faible,,,,True,True,True,,,,
Oiseaux,Mésange bleue,Cyanistes caeruleus,faible,,,,,True,True,,,,
Oiseaux,Mésange boréale,Poecile montanus,moyen,,,,,True,True,,,,
Oiseaux,Mésange charbonnière,Parus major,faible,,,,,True,True,,,,
Oiseaux,Mésange nonnette,Poecile palustris,faible,,,,,True,True,,,,
Oiseaux,Moineau friquet,Passer montanus,fort,,,,,True,True,,,,
Oiseaux,Pic épeiche,Dendrocopos major,faible,,,,,True,True,,,,
Oiseaux,Pic épeichette,Dendrocopos minor,moyen,,,,,True,True,,,,
Oiseaux,Pic mar,Dendrocopos medius,moyen,,,,,True,True,,,,
Oiseaux,Pic vert,Picus viridis,faible,,,,,True,True,,,,
Oiseaux,Pie-grièche écorcheur,Lanius collurio,fort,,True,,True,,True,,,,
Oiseaux,Pie-grièche grise,Lanius excubitor,majeur,True,,,True,True,True,,,,
Oiseaux,Pinson des arbres,Fringilla coelebs,faible,,,,True,True,True,,,,
Oiseaux,Pipit des arbres,Anthus trivialis,faible,,,,,True,True,,,,
Oiseaux,Pipit farlouse,Anthus pratensis,moyen,,True,,,,,,,,
Oiseaux,Pouillot fitis,Phylloscopus trochilus,moyen,,,,True,,True,,,,
Oiseaux,Pouillot véloce,Phylloscopus collybita,faible,,,,,True,True,,,,
Oiseaux,Rossignol philomèle,Luscinia megarhynchos,faible,,,,True,,True,,,,
Oiseaux,Rougegorge familier,Erithacus rubicula,faible,,True,True,True,True,True,,,,
Oiseaux,Rougequeue à fronc blanc,Phoenicurus phoenicurus,moyen,,,,,True,True,,,,
Oiseaux,Sitelle torchepot,Sitta europaea,faible,,,,,True,True,,,,
Oiseaux,Tarier pâtre,Saxicola rubicola,moyen,,True,True,True,,,,,,
Oiseaux,Torcol fourmilier,Jynx torquilla,tres_fort,True,,,,True,True,,,,
Oiseaux,Troglodyte mignon,Troglodytes troglodytes,faible,,,,,True,True,,,,
Oiseaux,Verdier d’Europe,Chloris chloris,faible,,,,,True,True,,,,
Reptile,Couleuvre à collier,Natrix natrix,moyen,,,True,True,True,True,,,,
Reptile,Couleuvre d’Esculape,Zamensis longissimus,moyen,,,,True,True,True,,,,
Reptile,Lézard vivipare,Zootoca vivipare,moyen,,True,True,True,True,True,,,,
Reptile,Orvet fragile,Anguis fragilis,faible,,True,True,True,True,True,,,,
